Award ID,Year,Award Category,Program,State/Province (Abbrev) (Organization) (Organization),FIPS Code (Organization) (Organization),Organization Name (Organization) (Organization),Abstract of the Program,Status Reason
AWD-002222,2023,Parks and Recreation,Holiday Park Senior Center Outdoor Fitness Equipment,MD,24031,Montgomery County,"Montgomery County Recreation’s Holiday Park Senior Center Outdoor Fitness Area innovatively provides adults, ages 55 years and older, access to outside fitness equipment. The workout area is the first outdoor fitness space in the region that is expressly geared to the needs of older adults. Many seniors were apprehensive to return to an indoor setting after the COVID-19 shutdown; the outside workout area made it possible to exercise and social distance. The outdoor area is available for seniors to work out anytime, including outside of the Senior Center hours.",Best in Category
AWD-002223,2023,"Personnel Management, Employment, and Training",MCG Delivers Mentorship Experience ,MD,24031,Montgomery County,"Montgomery County Government (MCG) Delivers: The Mentoring Experience is a group mentoring program created by and for County employees. The program aims to increase knowledge sharing and interdepartmental networking, foster career and leadership skills, enhance employee engagement and well-being, and grow a mentoring culture. A cohort of employees developed, piloted, and assessed the mentoring program in the summer of 2021 before transitioning it to the Office of Human Resources (OHR). OHR recruits employees to participate in the six-week group mentoring program. Interested employees fill out a survey, and the responses are then used to match mentees and mentors into small groups. Over six weeks, the groups meet once a week for an hour. Participants are given resources to support their mentoring sessions, including discussion guides for sessions covering topics such as career development and improving hard and soft skills. The experience is bookended with opening and closing sessions led by OHR. The mentoring experience has been well-received by employees. Surveys show that 90% of the mentees that the mentoring relationship positively impacted their career development, and 90% of the mentors said the relationship improved their leadership and coaching skills. ",Awarded
AWD-002224,2023,Planning,"Coconino County, Arizona Utility-Scale Renewable Energy Ordinance (The REO)",AZ,04005,Coconino County,"Coconino County, Arizona is home to some of the most spectacular places on earth, including the Grand Canyon, Vermilion Cliffs, the San Francisco Peaks, and Oak Creek Canyon. At nearly 12 million acres, it is the second largest county in the United States, and one of the most sparsely populated.  The county’s 2015 Comprehensive Plan recognizes the potential for the county’s sizable land area to be a resource for generating renewable energy, and the Energy Element outlines goals and policies that seek to encourage renewable energy technologies such as solar, wind and biomass.  The Plan also recognizes that reliable, clean energy is critical to the health, safety, and welfare of the county’s residents.  Renewable energy causes less pollution and fewer negative health impacts than traditional energy production, while protecting the natural environment by slowing climate change.  Anticipating an influx of project applications for utility scale renewable energy developments, the county initiated in 2020 a program to develop an ordinance that would establish development standards for how to review, approve, permit, and address project impacts from this type of project. The ordinance was approved in 2022.",Awarded
AWD-002225,2023,Community and Economic Development,Residential deck detail ,MD,24031,Montgomery County,"The Montgomery County Maryland Department of Permitting Services issues over 500 residential deck permits per year. Most permit applicants are homeowners with little to no construction and plan drafting experience. The Montgomery County Residential Deck Details guidelines allows homeowners to submit only a site-location plan to obtain permits for rectangular one level decks. Once the permit is issued, the homeowners will only need to follow the detailed deck guidelines for construction. ",Awarded
AWD-002226,2023,Children and Youth,"Making a Difference: 2022 Summer Reading Challenge! at Montgomery County Public Libraries, MD",MD,24031,Montgomery County,"In 2022, Montgomery County Public Libraries’ (MCPL) Summer Reading Challenge! went green. In alignment with Montgomery County’s Climate Action Plan, which emphasizes reducing our footprint through the reduction of waste, and with the support of the Friends of the Library, Montgomery County, MCPL staff accomplished something special by completely reimagining the program. The Summer Reading Challenge! is MCPL's annual signature systemwide event for children, teens, and families. Staff successfully implemented numerous changes, most notably the distribution of books to all participants at registration, the elimination of plastic prizes, and a partnership with a local nonprofit in support of the theme, Oceans of Possibilities. Children and teens worked towards a communal goal to make a tangible difference in local conservation efforts by reading books, doing activities, and attending library programs. As readers completed missions, the Friends of the Library, Montgomery County, made contributions to the Chesapeake Bay Foundation. In turn, the Chesapeake Bay Foundation planted 500 trees along the watershed, planted 250,000 oysters in the Bay, and restored healthy wildlife habitats throughout the Watershed. These program changes resonated with the community, as evidenced by the nearly 13,000 children and teens who registered for the program, marking an 8 year high.",Awarded
AWD-002227,2023,Health,Escape the Vape,NC,37129,New Hanover County,"The news of e-cigarette, vape, and other tobacco product use growing to unprecedented numbers among the youth and young adult population is nothing new for public health, health care, and even education professionals. However, North Carolina continues to lag behind the rest of the country when it comes to tobacco control policies, perpetuating the high percent of high school students who use tobacco products. To address this issue, New Hanover County Health and Human Services took initiative to partner with the local school system to implement programs across the school district that aim to both encourage cessation among current users and prevent future tobacco-use initiation. The larger county-wide initiative, called Escape the Vape, includes several components to reflect the socio-ecological approach to health behavior change. The primary goal of Escape the Vape is to support the prevention and cessation of tobacco product use by middle and high school students in New Hanover County. After kicking off the program in August of 2022, the school district had successfully implemented the evidence-based vaping prevention curriculum in all middle school and high school health and physical education classes and completed over 150 health coaching sessions with students currently using tobacco products by January of 2023.",Awarded
AWD-002228,2023,Risk and Emergency Management,Firewise Communities Microgrant Program ,CA,06057,Nevada County,"In rural, forested Nevada County, 92% of the nearly 100,000 residents live in high to very high fire hazard severity zones. Fire prevention experts, local government leaders, and the public at large agree that one of the most significant threats to human life is the need to safely evacuate during a wildfire. The major barrier to safe evacuations stems from the abundance of flammable vegetation on private lands and along private roadways. 
Private properties have historically been a missing piece to this wildfire preparation and evacuation puzzle. The “Firewise Communities Microgrant Program” was designed to address reducing the fuel load to improve evacuation safety. 
Funded with a $100,000 grant from a local community foundation, the County established the Firewise Communities Microgrant Program, which made 26 grants of $3,600 each to recognized Firewise Communities. Eligible projects to reduce wildfire risk included increasing defensible space around homes, removing hazardous vegetation from private lands, and clearing evacuation routes on private roadways. 
This program is the first of its kind for Firewise Communities. Nevada County has the most recognized Firewise Communities for any county in the nation. This program was able to leverage these communities’ volunteerism for maximum impact. This ultimately created a more wildfire resilient landscape that will save lives and property. 
",Best in Category
AWD-002231,2023,Libraries,Art for All Ages,FL,12015,Charlotte County,"The Charlotte County Libraries and History Division hosted Art for All Ages on April 30, 2022. This program was created to be included in Remake Learning Days Across America, a 10-day learning festival celebrating community collaboration in service of our children and families.  Art for All Ages provides a free, fun, hands-on experience for students, their caregivers, and educators. Through fostering continued community partnerships, the program offers individuals the ability to express themselves in many ways, such as theatre, dance, visual art, music, photography, and more.",Awarded
AWD-002232,2023,Health,Tobacco Use Prevention and Cessation Program,MD,24027,Howard County,"The Howard County Health Department (HCHD) and the Cigarette Restitution Fund Tobacco Grant partnered with Howard County Government funded Community Based Organizations (CBOs), to revitalize the Tobacco Use Prevention and Cessation Program (The Program). The program was revitalized in FY2022 grant period (07/01/2021-06/30/2022) to provide tobacco initiation prevention education and direct cessation services including virtual/remote options (i.e. classes, one on one counseling, group counseling, and pharmacologic interventions) to improve the quality of lives for resident and to prevent tobacco related illness and disease within the county. The program’s purpose is to assist Howard County residents to prevent initiation among youth and adults, promote quitting among youth and adults, and advance health equity by identifying and eliminating commercial tobacco products related inequities and disparities. The goal of this program is to build community capacity and engagement to influence social norms to foster a tobacco-free environment by providing no cost direct cessation classes/services and medications. No cost medical evaluation, clearance, and counseling will be provided by a clinician to any participant who desires assistance with tobacco cessation medications.  Outcomes are measured by numerical class attendance, outreach data, and information on satisfaction surveys.",Awarded
AWD-002233,2023,Health,Healthy Lifestyle in Residential Communities Project,MD,24027,Howard County,"The Healthy Lifestyle in Residential Communities Project was part of the Howard County Local Health Improvement Coalition (HCLHIC)’s new effort to strengthen community partnerships using a place-based approach with targeted outreach and education in identified residential communities to address diabetes and improve health equity in Howard County. 
Eight residential communities were selected for this new pilot project based on data review and prioritization of low-income residents and those facing barriers to healthcare. Project implementation occurred between June and December 2022 and engaged residents from youths to seniors of various races and ethnicities representing Howard County’s diverse communities. Through collaboration with HCLHIC partners and Howard County Government agencies, free on-site sessions and events were held to promote physical activity, healthy eating, and connection to community resources. 
This project engaged twelve diverse community partners; four partners provided recurring fitness and nutrition sessions at specific sites and reached a total of 343 residents. Larger health fairs were offered at each site and reached a total of 585 residents. Most (92.5%) of the participants reported enjoying the activities “a lot.” 
This project was successful in strengthening partnerships and building trust among residents. It serves as a model for future place-based community outreach efforts. 
",Awarded
AWD-002234,2023,County Administration and Management,Innovative Procurement Training Program,MD,24027,Howard County,"The Howard County Office of Procurement and Contract Administration has implemented an innovative customized training program for departmental employees. This program helps non-procurement professionals understand the County’s process and requirements, defines our role and explains their responsibilities, and has resulted in better relationships with user agencies, faster turnaround times, and a better understanding of how to work within the County’s procurement system.",Awarded
AWD-002235,2023,"Personnel Management, Employment, and Training",Forest Preserves of Cook County REDI Committee,IL,17031,Cook County,"The Forest Preserves of Cook County protects nearly 70,000 acres of public land within the second most populous county in the nation. Cook County’s size and diversity is a significant strength, but our region is plagued by considerable inequities including unequal access to nature, clean air and water, and outdoor recreation opportunities.

The Forest Preserves is committed to promoting an infrastructure and culture that is based on equity and inclusion. Therefore, in 2018 the Forest Preserves formed the Racial, Equity, Diversity, and Inclusion Committee (REDI), a group of employees empowered to focus on analyzing and understanding internal agency challenges and barriers to implement solutions based on racial equity. REDI works to restructure internal processes in order to operationalize equity and inclusion. While REDI efforts have included projects related to community engagement, professional development and volunteers, there has been significant emphasis placed on improving human resource processes.  

The Forest Preserves strives toward equity in its workplace and in its collaborations with partners and communities throughout Cook County. The Forest Preserves acknowledges that the work is ongoing and has pledged to do its part to ensure everyone feels welcome at the forest preserves. 
",Awarded
AWD-002236,2023,Libraries,Fall Fest Backpack Giveaway,FL,12015,Charlotte County,"Following the devastating impact of Hurricane Ian on Sept. 28, 2022, the Charlotte County Community Services Libraries & History Division hosted an impromptu Fall Festival and Backpack Giveaway, a program intended to bolster children and families. The goal was to provide new school supplies to students affected by loss and activities to promote family bonding and creativity. As it soon became apparent that the need was much larger than first anticipated, the library reached out to various sponsors requesting donations and received immense support from the whole community, enabling us to provide the supplies needed and offer a sense of comfort and well-being to families in the community. ",Awarded
AWD-002237,2023,"Arts, Culture and Historic Preservation",Ukrainian Embroidery Celebration,FL,12015,Charlotte County,"In March 2022 as part of an ongoing series of local artist spotlights and exhibits, Charlotte County Libraries and History featured Ukrainian embroidery (Vyshyvanka), eggs, ceremonial clothing, and traditional decorations representing the various regions of Ukraine. Along with a monthlong exhibit and artists’ interview aired on the Community Services YouTube channel, a reception and informational session were held by the Ukrainian American Society of Southwest Florida at one of the local library branches. ",Awarded
AWD-002238,2023,Libraries,Princess Tea Party,FL,12015,Charlotte County,"The Charlotte County Community Services Libraries and History Division hosted its 3rd annual Princess Tea Party on Feb. 12, 2022. This free program, which prioritizes children from low-income and/or foster care households, provides a fun and interactive experience for children ages 2-10 to dress up and receive the royal treatment. Through fostering continued community partnerships, the program offers families the opportunity to make unforgettable memories as young children can experience the wonder of imaginative play and activities designed to build their confidence. ",Awarded
AWD-002239,2023,Parks and Recreation,Introduction to Pickleball,FL,12015,Charlotte County,"The sport of pickleball has become very popular in the last decade. Due to the popularity, the Charlotte County Recreation Division offers indoor pickleball everyday at all of the recreation centers. It didn’t take long to realize the need to teach those new to the sport how to play the game. It also didn’t take long to find a volunteer willing to teach the Introduction to Pickleball class weekly.",Awarded
AWD-002240,2023,"Personnel Management, Employment, and Training",Recreation Division Training Guidelines ,FL,12015,Charlotte County,"The Charlotte County Recreation Division has constructed 14 New Hire Orientation Training Guidelines for new staff members. Due to the wide variety of events, programs, county rules, and internal systems that involved in a Recreation Division, we have developed role-specific training guidelines to assist new staff members become acclimated to the department. Below is a list of the 14 job classifacations that require a New Hire Training orientation 
1. Aquatic Coordinator 
2. Community Services Coordinator 
3. Event Security Coordinator 
4. Event Specialist 
5. Lifeguard 
6. Maintenance Coordinator 
7. Maintenance Worker 
8. Program Assistant 
9. Recreation Specialist 
10. Recreation Superintendent 
11. Recreation Supervisor 
12. Senior Administrative Assistant 
13. Summer Camp Counselor 
14. Summer Camp Supervisor 
",Awarded
AWD-002241,2023,Parks and Recreation,Camp Operation Guidelines,FL,12015,Charlotte County,"Charlotte County Community Services, Recreation Division hosts multiple camps throughout the year for school age children at five recreation center locations annually serving more than 600 children in our community. In order to provide the best camp experience for our campers we developed Camp Operation Guidelines to inform parents/guardians of the overall guidelines and procedures of the camp program.",Awarded
AWD-002242,2023,Health,"“Harm Reduction and Peer Recovery Services Program Howard County, Maryland”",MD,24027,Howard County,"The Harm Reduction and Peer Recovery Services Program in the Howard County Health Department’s (HCHD) Behavioral Health Bureau (BBH) provides direct support to individuals in Howard County, MD (HC) who use drugs and seeks to mitigate potential adverse outcomes of drug use. Further, Peer Recovery Specialists work in numerous partner agencies HC Government agencies to provide peer-based substance use supports and resource navigation. 

To address this problem the Harm Reduction and Peer Recovery Services Program (HRPR) in the Howard County Health Department’s (HCHD) Behavioral Health Bureau (BBH) expanded services and locations to provide direct support to individuals in HC who use drugs and seeks to decrease fatalities and other adverse outcomes of drug use using an evidenced based harm reduction model. Peer Recovery Specialists work in numerous HC Government partner agencies to provide peer-based substance use supports and resource navigation. 
",Awarded
AWD-002243,2023,"Personnel Management, Employment, and Training",Internally Developed Computer Training Classes,FL,12015,Charlotte County,"Since preparing for the Commission for Accreditation of Park and Recreation Agencies accreditation from the National Recreation and Park Association in 2016, the Charlotte County Community Services Department Recreation Division has made a concerted effort to ensure that our staff has a high level of training by creating an annual training matrix that includes mandatory requirements for each staff position within our division. In addition to these mandatory trainings, we wanted to offer additional trainings that would be beneficial to staff and the Recreation Division. Through continued meetings and brainstorming with Supervisors and front-line staff members during our shutdown and modified programming reopening after the Covid-19 pandemic, we determined additional training offerings we could provide. The Community Services Recreation Division decided to offer Internally Developed Computer Training Classes that would benefit Recreation Division staff members in their professional development.",Awarded
AWD-002244,2023,Children and Youth,Summer Camp Counselor Character Trait Program,FL,12015,Charlotte County,"The Summer Camp Counselor Character Trait Program is a training initiative designed to help seasonal summer camp counselors redirect and guide campers towards positive behavior outcomes. The program is a discipline model that aids our camp counselors in difficult situations and gives them tools to handle camper behavior issues. Instead of raising our voices, sending children to timeout, or taking things away from them, a counselor has the character traits to manage behavior and provide guidance so a camper can adjust and improve his or her obligation to respect rules and directions. This program can also be used for positive feedback. Many times during summer camp, parents will only receive feedback from staff when their child does something wrong. With the character traits training, our counselors can relay positive information to parents and highlight campers who are modeling proper behavior. The program was piloted at Centennial Park Recreation Center for six weeks during the summer of 2022, and we found counselors were better equipped to handle problematic situations and campers were more inclined to follow direction knowing they had an obligation to their fellow campers through the character traits.",Awarded
AWD-002245,2023,Parks and Recreation,Annual Recreation Division Planning Session,FL,12015,Charlotte County,"The Community Services Department Recreation Division Planning Session is an annual two full-day sessions to plan for all operational aspects of the division for the coming year. All Recreation Division supervisory staff participate in the DPS including recreation, aquatics and maintenance. The Community Services Department director, Recreation Division manager, and department Human Resources coordinator also participate in part of the planning session.",Awarded
AWD-002246,2023,"County Resiliency: Infrastructure, Energy, and Sustainability",Managed Aquifer Recharge Pilot System,MD,24003,Anne Arundel County,"To improve long-term water supply resiliency and water quality in the Chesapeake Bay, the Anne Arundel County Department of Public Works (DPW), is evaluating multiple management strategies to reduce nutrients and provide enhanced water supply options to the region.  One piece of this strategy is to evaluate the feasibility of performing indirect potable reuse by adding advanced water treatment (AWT) processes to an existing County Water Reclamation Facility (WRF). The AWT processes will further treat wastewater effluent to national drinking water and potable reuse water quality standards with the intent of performing managed aquifer recharge (MAR).",Awarded
AWD-002247,2023,Children and Youth,Harris County Attorney's Office Summer Legal Academy,TX,48201,Harris County,"The Summer Legal Academy (SLA) is a paid summer opportunity for high school students. Launched in 2022 by the Harris County Attorney’s Office, this program aims to create greater diversity in the legal profession while giving students, who may typically not have the resources, the tools to navigate the path to a legal career. Priority applicants of the program are first-generation college students, students from low-income backgrounds, and/or members of groups underrepresented in the legal profession.  

In a span of two weeks, students learn about what it takes to succeed in college, on the Law School Admissions Test (LSAT), and in law school; participate in mock lectures given by current professors at law schools; hear from multiple panels of attorneys in a variety of practice areas (including corporate law, criminal law, family law, etc.); and tour local law schools and courthouses. 

After completing the program, students receive a certificate and letter of recommendation from the Harris County Attorney. Additionally, students are connected to volunteer and leadership opportunities to encourage a lifelong practice of civic engagement and public service. ",Awarded
AWD-002248,2023,"County Resiliency: Infrastructure, Energy, and Sustainability",Ops Complex Solar Panels,MD,24003,Anne Arundel County,"The Anne Arundel County Department of Public Works has added a new 1.3 megawatt (MW) photovoltaic panel system at their Utility Operations Complex in Millersville, Maryland. The system includes 1,532 solar modules on existing building roofs, 1,400 solar modules on new parking lot canopies, and other necessary improvements to support the system. The system will be interconnected to the Baltimore Gas and Electric (BGE) electrical grid and provide an estimated 95% of the annual electricity demand for the facility. The project supports the County’s goal of pursuing more sustainable and renewable energy production methods.",Awarded
AWD-002249,2023,Children and Youth,Truck Day featuring the “Paint the Plow” Contest,MD,24031,Montgomery County,"The Montgomery County Department of Transportation’s Division of Highway Services is proud to share the success of Truck Day, featuring a student Paint the Plow contest. Engaging 14 middle schools from all over the county, the contest allowed local youth to put their creative talents to use by naming and painting their community’s snowplow. Truck Day was a family- friendly spring event allowing community interaction with MCDOT trucks. Weeks ahead of Truck Day, MCDOT organized plow deliveries to middle schools interested in participating in the Paint the Plow contest. Schools had the autonomy to design their plow around a suggested theme. MCDOT staff picked up the plows about a week later and they were displayed at Truck Day, where attendees viewed and voted for their favorite design. The event celebrated local youth’s artistic talent and deepened the department’s community connection during Public Works Week. Local youth worked collaboratively on a project that benefited County residents, with prizes going toward the school’s art program. The program raised climate change awareness and educated on the environment-friendly efforts the department deploys. Due to the success of the program, MCDOT will make the event annual and expand it to include additional middle schools.
",Awarded
AWD-002250,2023,Financial Management,Budget SharePoint Site,FL,12015,Charlotte County,"Charlotte County Fiscal Services has created a Budget SharePoint site to provide transparency throughout the organization, create efficiencies in the budget process, and balance organizational needs.",Awarded
AWD-002251,2023,"Personnel Management, Employment, and Training",Damage Assessment Tracker Dashboard,FL,12015,Charlotte County,"Charlotte County Fiscal Services created a comprehensive Damage Assessment Tracking Dashboard of up-to-date damages incurred due to Hurricane Ian. This information provides our County Administration the critical information necessary for intelligent and informed decision making.  This dashboard provides a central location for county employees to access hurricane damage data that is pertinent to their department. This, in turn, makes it possible for the rapid sharing of information to vendors, management, and other departments.",Awarded
AWD-002252,2023,"Personnel Management, Employment, and Training",Emergency Shelter Operations,FL,12015,Charlotte County,"The Charlotte County Community Services Department Recreation Division was tasked with the planning, implementation and management of Emergency Shelter Operations for Charlotte County residents, their pets and others displaced from their homes due to significant weather events such as hurricanes, tornadoes, and other declared emergencies. Charlotte County operates four non-special needs emergency shelters for residents, their pets and others in response to declared emergencies within the state of Florida. Sometimes these shelters are utilized by Charlotte County residents as was
the case during Hurricane Ian and sometimes they are utilized as “host” shelters utilized by residents of other parts of the state seeking a safe refuge when their homes are in declared emergency and evacuation zones. These emergency shelters are managed and staffed by Community Services staff as well as personnel form The Charlotte County Sheriff’s Office, Charlotte County Fire/EMS, Charlotte County Animal Control, the Charlotte County School Board as well as Community Emergency Response Team volunteers.",Awarded
AWD-002253,2023,Risk and Emergency Management,A Human Services Response to Emergencies: Culturally Competent and Trauma Informed Care,MD,24031,Montgomery County,"Nationally, the incidence of fire, floods, and structural disasters are rising. Under the direction of the Montgomery County Department of Health and Human Services, Office of Emergency Preparedness, Response and Mass Care, the Community Action Agency (CAA) has joined with DHHS service areas, other Departments, and partners to assure that people displaced by disasters have equitable access to services. We are Maryland’s only county integrating this wraparound model within its disaster response. CAA’s navigators work with Takoma East Silver Spring (TESS) Community Action Center staff work to address immediate needs and coordinate case management with department colleagues. This collaboration ensures that residents affected by disasters have a single access point to available services such as rehousing assistance, privately raised donations, insurance assistance, shelter and more. This approach prevents victims who have suffered significant losses from recurring trauma every time they seek services. The team’s culturally diverse members speak Spanish and Amharic and their training and knowledge about the community enables them to adeptly connect across the cultural divide and provide responsive care. This team has worked on nine recoveries in the past year, rehousing and connecting 235 households with invaluable resources, never leaving them without care from the moment of displacement to after rehousing.",Awarded
AWD-002254,2023,Community and Economic Development,Residential Revitalization Program,KS,20147,Phillips County,"Phillips County Economic Development’s Residential Revitalization Program was created to promote community beautification, foster a sense of pride, and create an overall positive visual impact within the county. Through this program we offer reimbursements to homeowners up to $1,500 in matching funds for the purchase of materials and equipment rentals required to renovate the exterior of their property. It is operated on a first come, first-serve basis and funding priority is given to structures in the greatest need of revitalization. Applicants are only allowed to apply for the program on one property, one time per year, as only twenty projects are funded each year. Twenty-three applicants have successfully completed the program since its creation on May 24th, 2018, investing $5.22 of their own money into their projects for every dollar Phillips County Economic Development invests through this program. Applicants are encouraged to purchase within the county, and to date, of the $133,976.24 in total project costs, $92,221.05 has been spent on local materials and labor for projects associated with this program. ",Awarded
AWD-002255,2023,Parks and Recreation,Lifeguard Training Scholarship Program,FL,12015,Charlotte County,"The purpose of the Lifeguard Scholarship Program is to offer the opportunity to gain lifeguard certification through Charlotte County Community Services. The original cost of the Lifeguard Training certification was $200 in Charlotte County. Now with the Lifeguard Training Certification Scholarship program, that cost is reduced to $0.",Awarded
