Award ID,Year,Award Category,Program,State/Province (Abbrev) (Organization) (Organization),FIPS Code (Organization) (Organization),Organization Name (Organization) (Organization),Abstract of the Program,Status Reason
AWD-001788,2022,Information Technology,Improving Care Coordination with Real-Time Patient Encounter Notifications,CA,06071,San Bernardino County,"Cases of congenital syphilis (CS) have risen steadily in the last 5 years as cases of syphilis continue to increase nationally. CS is preventable with routine care, though not often afforded to pregnant patients with high levels of vulnerability. Coordinating care for pregnant patients can be difficult due to upstream issues and risk factors, including lack of access to medical care, homelessness, and methamphetamine use. 
Manifest MedEx (MX) Notify sends real-time admission/discharge/transfer (ADT) notifications when a patient is admitted to and discharged from a healthcare facility, enhancing care coordination efforts of the public health team. Emergency department (ED) use has been increasing over the past few years and has become a source for primary care for patients who lack access to outpatient care. MX Notify saves valuable time in communicable disease control efforts, allowing public health teams and providers to request and receive patient health information much faster than traditional methods of calling providers and waiting for information to be e-mailed or faxed. 
With real-time notifications, RN Case Managers can intervene quickly to coordinate treatment for infants and pregnant people diagnosed with STDs to reduce adverse health outcomes and risk of transmission, ultimately preventing further spread of disease and debilitation.
",Awarded
AWD-001789,2022,Risk and Emergency Management,COVID-19 School Response Efforts,CA,06071,San Bernardino County,"A collaborative between the San Bernardino County Public Health Department, the San Bernardino Superintendent of Schools to provide ongoing support and resources to public, private and charter K-12 schools, preschools, day care centers, and institutions of higher learning through multiple communication channels for the continuing efforts to ensure specific measures are in place at school sites; provide additional public health education on the COVID-19 vaccine; provide resources to access personal protective equipment (PPE) including hand-sanitizer and masks; and provide counseling and other mental health resources.",Awarded
AWD-001792,2022,"Personnel Management, Employment, and Training",Workforce Development,CA,06071,San Bernardino County,"The Department of Public Health (DPH) is dedicated to ensuring that all staff understand and embrace the importance of the work they do their impact on the community. The New Employee Orientation program has be redesigned with this purpose in mind to ensure new hires have access to orientation information the day they report to their new jobs. The revamped NEO program is comprised of four elements: 
•	New Employee Orientation Training module – Interactive online training module which outlines and illustrates all 26 department programs and their purpose, community impact, and leadership team.
•	Virtual Orientation – Monthly 2-hour virtual meeting where new hires will have an opportunity to meet each member of the executive team, hear about various programs and services offered to the community, and an opportunity to ask questions. This orientation also includes the following: 
-	Instructions on navigating DPH SharePoint and the county intranet sites
-	Overview of our department’s four big committees and how to join
-	Introduction to our department’s mentoring and leadership programs and other staff development opportunities
•	SharePoint resource archive – Centralized access to resources and tools for supervisors which help with the onboarding of new employees. 
•	DPH New Employee Handbook– Electronic document which includes essential information for new hires, including:
-	Organizational chart and descriptions of each DPH division and program
-	Code of Conduct information
-	Basic ergonomics, infection control and reporting abuse
-	DPH facility, clinic, and office locations and addresses
-	Additional tools and resources
",Awarded
AWD-001793,2022,Information Technology,Assessor-Recorder-Clerk Mobile Unit,CA,06071,San Bernardino County,"The Assessor-Recorder-Clerk (ARC) office has increased delivery of services for constituents by creating a mobile office that travels to local communities located throughout San Bernardino County. The ARC Mobile Unit is a mobile office that rides on the American built Ford 2018 Vegas Thor Recreational Vehicle (RV). The RV is equipped with the latest technology to allow for the remote production and secure issuance of vital records copies (birth, death and marriage certificates), issuance of marriage licenses, performance of marriage ceremonies, property assessment information, and more.",Awarded
AWD-001794,2022,Health,Training and Preparedness,CA,06071,San Bernardino County,"The San Bernardino County COVID-College is a training tool created to formalize and standardize the training process specific to the Covid-19 response for incoming and current county staff assigned to Specimen Point of Collection (SPOC) and Medical Point of Dispensing (MPOD) sites.  This tool is designed to enhance the level of training and improve the onboarding procedures to ensure the best quality experience is given to all staff by covering the roles and responsibilities at the SPOC and MPOD sites as well as cover basic Incident Command System (ICS) principles, which is a standardized approach to the command, control, and coordination of on-scene incident management.  ICS specifies an organizational structure for incident management that integrates and coordinates a combination of procedures, personnel, equipment, facilities, and communications.  COVID-College better prepares all incoming staff for the complexities associated with serving the community in such a structured system.  It also prepares staff to be malleable when adhering to the constant change and evolution of policies related to the Covid-19 response.  The result of this training tool has been an increase knowledge of site operations, readiness of new staff to jump in to the response and a decrease of medical administration errors.  ",Awarded
AWD-001796,2022,Health,COVID-19 Vaccination Faith-based Partnership,CA,06071,San Bernardino County,"The San Bernardino Faith-Based Initiative provides COVID-19 Mobile Vaccination Clinics to vulnerable and marginalized communities through collaboration with trusted faith-based partners in San Bernardino County. Faith leaders aid in the dissemination of COVID-19 vaccine information and address questions and concerns from the community. Through health summits, Q&A sessions, official statements, and information shared during services, faith leaders have provided trustworthy information about COVID-19 resources that help address misinformation by answering important questions from community members. The trusted partnerships with faith leaders have been instrumental in reaching vulnerable and remote communities. The success of this initiative lies in its partnerships. From churches to resource centers, these partnerships have allowed for the distribution of health education and resources to communities in reliable and safe spaces",Awarded
AWD-001797,2022,Information Technology,e-Platting,FL,12099,Palm Beach County,"e-Platting is the software created by Palm Beach County Information System Services with the help of the Department of Engineering and Public Works that allows for the submittal, review and approval of plats and engineering plans associated with said plats. The program launched in April of 2020 transforming a paper review process into a fully electronic review process, providing a more efficient experience for applicants and reviewers. The platform allows applicants to submit subdivision applications and payments electronically. Staff can then distribute subdivision applications to the reviewing agencies who then can comment on said applications. Staff then sends comment letters to applicants and applicants then resubmit to address comments electronically, making this a fully electronic review process. 

The purpose of the program is to provide the development community with a tool that improves their experience in the application and approval process. e-Platting also improves the experience for the project coordinator and reviewers, increasing their review time, tracking all activities, communication and documents associated with the review and approval process and reduces the waste created with paper submittals. 

The program has been a great success and has significantly reduced the time it takes to process subdivision applications.
",Awarded
AWD-001799,2022,Planning,Countywide Lakefront Public Access Plan:  A Resilient & Accessible Lakefront for All,OH,39035,Cuyahoga County,"The Cuyahoga County Lakefront Public Access Plan (LPAP) seeks to expand lakefront public access while improving coastal protection along primarily privately-owned shorelines.  Historic development patterns and economic pressure has resulted in only 22% of the Cuyahoga County lakefront (13% outside of downtown Cleveland) being publicly accessible.  As concern over inequities in public lakefront access rose, Lake Erie experienced the effects of climate change.  Unprecedented high lake levels and limited winter lake ice combined to produce severe coastal erosion that threats property, buildings and infrastructure.  

The Lakefront Public Access Plan builds on the successful public-private partnership model built in Euclid, Ohio – a community at the eastern edge of Cuyahoga County.  That model and the Plan offer a framework in which private landowners voluntarily donate or provide lakefront easements to the County to construct new public lakefront access that enhances recreation in exchange for public investment in shoreline protection – something that can only be truly effective when addressed at scale versus on a parcel-by-parcel basis.  The LPAP identifies new public access along 50% of the shoreline, supports a more equitable distribution of community access, defines a continuous multimodal lakefront route connecting east-west throughout the county, and suggests a more resilient shoreline countywide.  

",Awarded
AWD-001800,2022,Information Technology,e-Permitting,FL,12099,Palm Beach County,"e-Permitting is the software created by Palm Beach County Information System Services with the help of the Department of Engineering and Public Works that allows for the submittal, review and approval of right-of-way permits. The program allowed the County to take a paper review process and transform it to a fully electronic review process, which is more efficient. The platform allows applicants to submit permit application electronically, staff distributes permit applications to other reviewers, reviewers can comment on applications, staff can send comment letters to applicants and applicants then resubmit to address comments electronically until permits are approved and issued, making this a fully electronic review process. 

The purpose of the program was to eliminate the need to accept multiple sets of permit plans, calculations and other documents needed for the permit application. By making the process electronic, we reduced the amount of time needed to distributed review documents to review agencies. The program also tracks all activities and communications associated with the review and approval of permit applications. 

The program has been a great success and has significantly reduced the time it takes to process permit applications.
",Awarded
AWD-001801,2022,Criminal Justice and Public Safety,Welcome Home AC Reentry Resource Directory and The Path Home Reentry Workbook Series,CA,06001,Alameda County,"Ensuring early reentry planning is critical to the success of clients leaving California prisons, but Post-Release Community Supervision (PRCS) clients in California prisons and jails lack access to reentry programming because their sentences are too short for the California Department of Corrections and Rehabilitation’s (CDCR) Transitions program. Alameda County Probation Department has developed a four-part series of self-guided pre-release/reentry workbooks as a project of the Pathways Home Initiative, a first of its kind collaboration with the California Department of Corrections and Rehabilitation aimed at improving the reentry process for Post-Release Community Supervision clients returning to Alameda County. The four workbooks, which are delivered to PRCS clients in California prisons and to Santa Rita jail, include content to (1) help clients plan for continuing mental and physical health and wellness; (2) teach clients key concepts in Cognitive Behavioral Treatment, an evidence-based approach to addressing criminal behavior, and practice strategies for calming the mind and body; (3) guide clients in thinking about career paths and job skills; and finally (4) equip clients with information on the probation process in Alameda County so that they can begin their reentry knowing what is expected of them. After release, they can be used as a starting point in discussions between returning clients and their probation officers. By facilitating reentry planning where it is not otherwise available, this project fills a gap in the California prison system’s reentry offerings and provides a foundation for other probation departments to build upon in their jurisdictions.  ",Awarded
AWD-001055,2022,"Personnel Management, Employment, and Training",Training Catalog and Staff Development,FL,12015,Charlotte County,"Since becoming Commission for Accreditation of Park and Recreation Agencies (CAPRA) accredited in 2017, one of the key focus areas of Charlotte County Community Services Recreation Division is staff training and development. In preparing for accreditation, supervisors made a concerted effort to ensure that recreation staff has a high level of training. 

An annual training matrix was created that includes requirements for each staff position within the division. In recent years, the division has expanded training opportunities by adding numerous supplemental trainings. These trainings are not mandatory, but opportunities that allow staff to continue to grow professionally in their position within the Recreation Division and beyond. 

The Recreation Division has continued to go above and beyond to offer these development opportunities for staff by adding new supplemental trainings. In 2021, supervisors wanted to ensure all staff is aware of the supplemental trainings and created a Recreation Training Catalog that has been distributed throughout the division.
",Awarded
AWD-001056,2022,Criminal Justice and Public Safety,Fresh Start Juvenile Expungement Program,PA,42029,Chester County,"When eligible, low-level juvenile offenders turn 18 and have not expunged their records, we do so on their behalf. The purpose is to ensure that young adults who made a minor yet still illegal mistakes as teens can put the past behind them as they move onto employment, housing, and higher education. While their records are sealed in the court system, information does get out through other means. People then come to us in a panic to expunge their records, and it may be too late for the current opportunity. The outcome is that over 150 people per year get their records expunged so that a one-time misdemeanor does not turn into a longer ""sentence"" that prevents future opportunities.",Awarded
AWD-001057,2022,Civic Education and Public Information,Virtual Ag Tour,FL,12015,Charlotte County,"In the late 1800s, urban residents often visited rural areas in search of relief from heat and the business of the city. Just after World War II, people visited farming communities for a change of scenery and recreational opportunities. Sometimes agritourism and entertainment were combined into “agritainment” as the search for different types of recreation was found in rural farming communities continued. 

Agriculture is the science or practice of farming, including cultivation of the soil for the growing of crops and the rearing of animals to provide food, fiber, and other products. This tour was a recreational and educational effort used to increase viewers knowledge of where their food comes from. This recorded virtual tour explored the history of agriculture and various agricultural operations in Charlotte County, including a visit to four Charlotte County farms — Farabee Cattle, Melon 1, Iguanaland and Peace River Organics — to gain a better understanding of a few of the different types of agriculture business — traditional and non-traditional — and what they bring to our community.  
",Awarded
AWD-001059,2022,Civic Education and Public Information,Civic Word Search,FL,12015,Charlotte County,"The Charlotte County Public Information Office produces and publishes a monthly word search puzzle of county-related terms in its employee newsletter to familiarize exployees with all facets of the county and county government and increase newsletter readership.

In 2021, the Public Information Office created a 32-page civic word search booklet and  distributed it to county summer youth camps, libraries and recreation centers.

The booklet was very well received and we plan to produce a second booklet once we have created enough puzzles.
",Awarded
AWD-001061,2022,Community and Economic Development,Keep LA County Dining Grant Program,CA,,Los Angeles County Development Authority,"Restaurants were one of the first industries affected by the COVID-19 pandemic, being forced to close or quickly pivot and adapt to a new business environment. In response, the Los Angeles County Development Authority (LACDA) launched the Keep LA County Dining (KLACD) Grant Program to provide grants for restaurant owners to use for working capital including adaptations needed to remain open. Funded by the CARES Act, the KLACD Grant Program provided a $30,000 grant for restaurant owners.

The County of Los Angeles has thousands of restaurants. Upon opening the application portal for the KLACD Grant Program on December 3, 2020, the portal crashed due to the overwhelming interest. The LACDA quickly pivoted moving to an inhouse application portal system that could manage the extensive traffic flow. Additionally, due to the limited capacity of the LACDA's Information Technology infrastructure, the County's Internal Services Department provided its much larger infrastructure as it could handle the large volume of applicants. On December 7, 2020, the LACDA relaunched the application portal. In a matter of hours, 2,597 applications were received. Given the great demand by the restaurant industry, a total of $12,356,712 was allocated to the KLACD Grant Program and 390 grants were provided.",Awarded
AWD-001062,2022,"County Resiliency: Infrastructure, Energy, and Sustainability","Anne Arundel County Full Delivery of Water Quality Improvements ""Turnkey"" Program",MD,24003,Anne Arundel County,"Anne Arundel County’s Bureau of Watershed Protection & Restoration (BWPR) implemented its Full Delivery of Water Quality Improvements (“Turnkey”) Program in 2017 to expedite the process of restoring our local waterways and driving down costs through public-private partnerships. This program, which funds design-build-maintain contracts to private firms that result in the construction of cost-effective stormwater Best Management Practices, has become a pillar in the County’s progress toward achieving the goals of our NPDES MS-4 permit and the Chesapeake Bay Total Maximum Daily Load (TMDL) requirements. The Turnkey Program has created a resilient and cost-effective pipeline of restoration projects that ensure the County’s local tax dollars are being invested towards a sustainable future. Innovative public-private partnerships facilitated by the Turnkey Program help to expedite the process of restoring Anne Arundel County’s waterways.",Awarded
AWD-001064,2022,Risk and Emergency Management,Fairfield County EMA Vaccination Call Center,OH,39045,Fairfield County,"After almost a year of COVID-19 infections, the first vaccines were released in December 2020. Discretion of how to schedule and administer vaccines were left to local governments, but without direction or guidelines. The Fairfield County Health Department (FCHD) attempted to schedule residents for appointments based on mandated eligibility and availability of vaccine. This quickly became difficult due to a time-consuming process with limited staff and the other responsibilities placed on the Health Department. FCHD turned to the Fairfield County Emergency Management Agency (FCEMA) for help with a solution.
FCEMA quickly put together a call center with county staff and resources in the Emergency Operations Center (EOC). Lists of residents that signed up to receive the vaccine were robocalled with a local phone number and assisted with scheduling a vaccine appointment. 
Over 19,000 residents were scheduled in eight weeks to receive the vaccine with the Health Department. By utilizing technology, programs already in place, county staff, and not costing any additional funds over standard operational costs, the success of this program was invaluable. While this initiative ended when the Vaccine Management System (VMS) was created by the State of Ohio, it can be utilized in future. 
",Awarded
AWD-001065,2022,Human Services,"Fatherhood Initiative Outreach ""The Brandon Story""",CA,06035,Lassen County,"The Lassen County Department of Child Support Services (DCSS) in rural Northern California created a Fatherhood Initiative to 1) build trust toward the department amongst non-custodial fathers, 2) provide education about services, and 3) develop a community-wide sense of the value of child support.  The multi-pronged, ongoing Fatherhood Initiative includes outreach and education components, and it is flexible and continuously incorporates new information, so that the department can focus on the components that produce the most effective results.  Key initiative components include educational and trust-building social media content, interdepartmental and regional ally outreach, network building, national discussion participation, and participant surveys.  Though the Fatherhood Initiative is in an early stage, it has already produced positive results.  Many Lassen County non-custodial fathers express surprise at their respectful treatment throughout the case process; they report they would have opened cases themselves or would have cooperated earlier had they realized the experience would be pleasant and helpful.  We expect more regional fathers to open child support cases and improve parent-child connections.  This program is highly replicable, and the Child Support Directors’ Association of California has shared components of the program to help other departments implement their own initiatives.",Best in Category
AWD-001066,2022,County Administration and Management,Controlling Costs by Improving Access to Care: Fairfield County Health and Wellness Clinic,OH,39045,Fairfield County,"Employee health is a top priority for Fairfield County, Ohio. Historically, the county has gone to great lengths to provide a fair and affordable benefit program to employees and their dependents. Costs for basic medical procedures, prescription drugs, and market forces have combined to put undue pressure on budgets.  Whether a benefit program is self-funded or fully insured as with many local governments, the struggle to control costs, improve claims experience, and maintain a healthy workforce is real.  
Fairfield County evaluated and opted for a direct approach to improve the health of employees while controlling costs. The Fairfield County Health and Wellness Clinic (“Clinic”) is a near site wellness clinic operated in conjunction with a local community partner.  The Clinic provides basic care to employees and dependents at no cost. Fairfield County Human Resources works directly with clinic staff to meet the health needs of employees and oversees clinic operations.
The Clinic investment has yielded a significant return and provided benefits related to recruitment and retention.  To date, Fairfield County has saved over $1,000,000 in healthcare costs. A clinic model may be adopted in whole or in part by others to improve workforce health and provide a positive budget impact.
",Awarded
AWD-001067,2022,Risk and Emergency Management,Rent Relief Program:  Ensuring Housing Stability During COVID-19,CA,06037,Los Angeles County,"The March 19, 2020, Stay-at-Home order to prevent the spread of COVID-19 virus left thousands of low-income Los Angeles County tenants with significant rental debt, threat of eviction, and general concern over their housing security.  To ensure that tenants received rental assistance to remain housed and prevent an increase in homelessness, the Board of Supervisors awarded the Los Angeles County Development Authority (LACDA) $100 million of Coronavirus Aid, Relief, and Economic Security (CARES Act) funds.

The sheer scope and volume of this task, as well as the urgent need to assist low-income County residents, required an innovative solution within 60 days.  Having no rent relief administration experience, an unprecedented amount of funding to deploy, and a deadline to disburse all funds by December 30, 2020, the LACDA needed to launch a program that could be quickly implemented Countywide. 

To meet this great challenge, the LACDA leveraged external resources such as 211 LA, the County’s social services info and referral helpline, and partnered with 29 Community-Based Organizations (CBO) and cities that had deep connections in their communities.  This successful collaboration of over 150 internal and external staff managed this large-scale Program and assisted 14,189 households with average assistance of $8,273.   
",Awarded
AWD-001068,2022,Community and Economic Development,Film and Digital Media Career Pathway Pilot Program,CA,06037,Los Angeles County,"The County of Los Angeles partnered with local non-profit Venice Arts to develop, plan, and implement a career pathway program for those ages 14-24 into the Film and Digital Media (F&DM) industry. The program consisted of four levels of programming, starting with career exposure webinar-style events with industry professionals that provided over 330 youth with insider industry knowledge. Level 2 consisted of hands-on, weekend career exploration workshops for 30 youth, and Level 3 consisted of a twelve-week training course for 31 participants that provided a well-rounded working knowledge of a variety film and digital media tools. This training also familiarized students with common workflows in F&DM companies and the basics of narrative storytelling. Participants utilized and showcased the work they created over the duration of the course through different digital mediums. Last, Level 4 consisted of paid, meaningful internships with industry partners. Thirty participants graduated from Level 3 programming with certificates in Digital Media Content Creation, and 4 were additionally certified in Adobe Premiere Pro. Participants were placed into 21 internships with employer partners. In the first year, 100% of the recruited youth identified as low-income and 40% indicated they were homeless, foster, and/or justice-involved.",Awarded
AWD-001069,2022,Human Services,"""Novel Respite for Family Caregivers During COVID-19""",CA,06037,Los Angeles County,"How does a Family Caregiver Support Program provide respite during a shutdown of services?  LA County Area Agency on Aging (AAA) worked with the USC Family Caregiver Support Center to offer new forms of respite using young volunteers, virtual programming and home-delivered meals. ",Awarded
AWD-001070,2022,Human Services,Development of an Outpatient Procedure Service to Decrease Emergency Department Utilization,CA,06037,Los Angeles County,"Therapeutic fluid extraction procedures such as therapeutic paracentesis, lumbar puncture, and thoracentesis can generally be safely performed in an ambulatory clinic instead of urgent care settings. Of the three Department of Health Services (DHS) sites with an Emergency Department (ED) in the Los Angeles area, only one facility (Olive View Medical Center (OVMC)) offers a paracentesis clinic, while Harbor-UCLA Medical Center (HUMC) and LACUSC do not. Despite the availability of a clinic at OVMC, patient demand exceeds the capacity of the clinic, resulting in patients presenting to the ED for these procedures, that may also lead to unnecessary hospitalization for management. Most patients presenting to the DHS EDs, either on their own or referred by their providers, do not need ED care or hospital admission for paracentesis, lumbar puncture, or thoracentesis. This over-utilization of valuable ED and inpatient resources compromises patient access and timeliness of care, as well as risks denied hospital days and poor patient satisfaction. To address this need, we developed and piloted a fluid aspiration (FLASP) clinic at LACUSC to decrease this demand for urgent care. Since the success of the pilot project, where we were able to see more than a 50% decrease in patient presenting to the ED for paracentesis, we expand the FLASP clinic hours and procedures offered and plan to develop educational and procedural interventions to promote the clinic's use. We hypothesize that this project will increase clinic use and decrease ED use. We plan to conduct a mixed methods study with key informant interviews to assess patient and provider barriers and facilitators to the FLASP clinic use that will guide the intervention. We will quantitatively evaluate our primary outcome, reduction in unnecessary ED use from 30-40 patients per month to 5-7 patients per month, as well as other process measures including reduction in denied hospital days, reduction in hospital admissions, improved patient satisfaction and improved knowledge of patients regarding their disease.",Awarded
AWD-001071,2022,Human Services,CalFresh Healthy Living Program-Virtual Design,CA,06037,Los Angeles County,"The County of Los Angeles Workforce Development, Aging and Community Services (WDACS) Area Agency on Aging (AAA) administers the CalFresh Healthy Living (CFHL) Program (known as SNAP-Ed outside of California) to Older Adults residing within the boundaries of Los Angeles County. CFHL provides evidence-based nutrition education and obesity prevention classes delivered by Registered Dietitians.  These services are normally provided in a group setting at AAA congregate meal sites in low-income areas.  As a result of the closure of all congregate meal sites due to COVID-19, AAA reimagined CFHL program delivery by transitioning to a virtual format.  This transition allowed AAA to continue providing much-needed nutrition education services, as well as opportunities for social interaction, to a vulnerable population while remaining safe at home.  This reimagined program delivery format also enabled homebound Older Adults to participate in the program for the first time.",Awarded
AWD-001075,2022,Community and Economic Development,Building a Skilled Workforce-The Fairfield County Workforce Center,OH,39045,Fairfield County,"The Fairfield County Workforce Center opened in 2021 to meet the needs of local employers, job seekers, and students. 

With limited adult education opportunities available, Fairfield County partnered with Hocking College and Ohio University to offer programs in healthcare, manufacturing, and skilled trades. These certificate-based programs can lead participants directly to the workforce after only 16 weeks of training. The participants have an option to return to the Workforce Center to take additional classes and attain an associate degree.

Still in its first year of operation, the Workforce Center has 173 individuals attending eight different programs. The student base is comprised of apprentices from local employers, college students working to attain an Engineering Technology Degree, adults seeking new careers, and high school seniors that are exiting high school directly into a career. Forty-five of the high school seniors are participating in pre-apprenticeship programming and all have been offered employment by local construction companies.
",Awarded
